Timepoint Replicate Haplotype Freq
62 2 1011 1e-04
62 2 1100 0.000877963125548727
62 2 1101 1e-04
62 2 1111 1e-04
76 1 0000 0.00169459612125777
76 1 0001 1e-04
76 1 0010 1e-04
76 1 0011 1e-04
76 1 0100 0.996987384673319
76 1 0101 1e-04
76 1 0110 1e-04
76 1 0111 1e-04
76 1 1000 1e-04
76 1 1001 1e-04
76 1 1010 1e-04
76 1 1011 1e-04
76 1 1100 0.00131801920542271
76 1 1101 1e-04
76 1 1111 1e-04
76 2 0000 0.00165143674997248
76 2 0001 1e-04
76 2 0010 1e-04
76 2 0011 1e-04
76 2 0100 0.99702741385005
76 2 0101 0.000110095783331498
76 2 0110 0.000220191566662997
76 2 0111 1e-04
76 2 1000 1e-04
76 2 1001 1e-04
76 2 1010 1e-04
76 2 1011 1e-04
76 2 1100 0.000990862049983486
76 2 1101 1e-04
76 2 1111 1e-04
