43_2007	A/Ohio/UR06-0494/2007	>A/Ohio/UR06-0494/2007|73283|A/H3N2||2007.164|HA|original	ORIGINAL
44_2007	A/Oregon/UR06-0273/2007	>A/Oregon/UR06-0273/2007|73644|A/H3N2||2007.118|HA|original	ORIGINAL
45_2007	A/Oregon/UR06-0389/2007	>A/Oregon/UR06-0389/2007|73720|A/H3N2||2007.134|HA|original	ORIGINAL
46_2007	A/Oregon/UR06-0272/2007	>A/Oregon/UR06-0272/2007|73758|A/H3N2||2007.118|HA|original	ORIGINAL
47_2007	A/Vermont/UR06-0469/2007	>A/Vermont/UR06-0469/2007|73928|A/H3N2||2007.162|HA|original	ORIGINAL
48_2007	A/Ohio/UR06-0410/2007	>A/Ohio/UR06-0410/2007|74650|A/H3N2||2007.145|HA|original	ORIGINAL
49_2007	A/Colorado/UR06-022/2007	>A/Colorado/UR06-022/2007|74744|A/H3N2||2007.019|HA|original	ORIGINAL
50_2007	A/Colorado/UR06-0024/2007	>A/Colorado/UR06-0024/2007|74763|A/H3N2||2007.019|HA|original	ORIGINAL
51_2007	A/Texas/UR06-0358/2007	>A/Texas/UR06-0358/2007|74801|A/H3N2||2007.137|HA|original	ORIGINAL
52_2007	A/Colorado/UR06-0534/2007	>A/Colorado/UR06-0534/2007|74820|A/H3N2||2007.178|HA|original	ORIGINAL
53_2007	A/California/UR06-0463/2007	>A/California/UR06-0463/2007|74839|A/H3N2||2007.159|HA|original	ORIGINAL
54_2007	A/Illinois/UR06-0546/2007	>A/Illinois/UR06-0546/2007|74858|A/H3N2||2007.175|HA|original	ORIGINAL
55_2007	A/Oregon/UR06-0202/2007	>A/Oregon/UR06-0202/2007|75086|A/H3N2||2007.099|HA|original	ORIGINAL
56_2007	A/Illinois/UR06-0402/2007	>A/Illinois/UR06-0402/2007|75162|A/H3N2||2007.148|HA|original	ORIGINAL
57_2007	A/Oregon/UR06-0200/2007	>A/Oregon/UR06-0200/2007|75352|A/H3N2||2007.099|HA|original	ORIGINAL
58_2007	A/Virginia/UR06-0580/2007	>A/Virginia/UR06-0580/2007|75523|A/H3N2||2007.192|HA|original	ORIGINAL
59_2007	A/Ohio/UR06-0256/2007	>A/Ohio/UR06-0256/2007|76530|A/H3N2||2007.115|HA|original	ORIGINAL
60_2007	A/Oregon/UR06-0221/2007	>A/Oregon/UR06-0221/2007|76701|A/H3N2||2007.104|HA|original	ORIGINAL
61_2007	A/Kentucky/UR06-0044/2007	>A/Kentucky/UR06-0044/2007|76872|A/H3N2||2007.044|HA|original	ORIGINAL
62_2007	A/Texas/UR06-0603/2007	>A/Texas/UR06-0603/2007|76948|A/H3N2||2007.197|HA|original	ORIGINAL
63_2007	A/Virginia/UR06-0489/2007	>A/Virginia/UR06-0489/2007|77578|A/H3N2||2007.162|HA|original	ORIGINAL
64_2007	A/Colorado/UR06-0452/2007	>A/Colorado/UR06-0452/2007|132971|A/H3N2||2007.159|HA|original	ORIGINAL
65_2007	A/Illinois/UR06-0600/2007	>A/Illinois/UR06-0600/2007|133294|A/H3N2||2007.197|HA|original	ORIGINAL
66_2007	A/Virginia/UR06-0605/2007	>A/Virginia/UR06-0605/2007|133313|A/H3N2||2007.195|HA|original	ORIGINAL
67_2007	A/Colorado/22/2007	>A/Colorado/22/2007|133852|A/H3N2||2007(Monthanddayunknown)|HA|Original	ORIGINAL
68_2005	A/Missouri/NHRC0001/2005	>A/Missouri/NHRC0001/2005|318544|A/H3N2||2005.030|HA|P0	P0
69_2005	A/California/NHRC0001/2005	>A/California/NHRC0001/2005|318576|A/H3N2||2005.912|HA|P0	P0
70_2005	A/Texas/NHRC0002/2005	>A/Texas/NHRC0002/2005|318584|A/H3N2||2005.964|HA|P0	P0
71_2005	A/Illinois/NHRC0002/2005	>A/Illinois/NHRC0002/2005|318592|A/H3N2||2005.975|HA|P0	P0
72_2006	A/Texas/NHRC0001/2006	>A/Texas/NHRC0001/2006|318600|A/H3N2||2006.118|HA|P0	P0
73_2006	A/Illinois/NHRC0001/2006	>A/Illinois/NHRC0001/2006|318608|A/H3N2||2006.123|HA|P0	P0
74_2006	A/California/NHRC0001/2006	>A/California/NHRC0001/2006|318616|A/H3N2||2006.140|HA|P0	P0
75_2006	A/Missouri/NHRC0001/2006	>A/Missouri/NHRC0001/2006|318640|A/H3N2||2006.257|HA|P0	P0
76_2006	A/Illinois/NHRC0002/2006	>A/Illinois/NHRC0002/2006|318648|A/H3N2||2006.260|HA|P0	P0
77_2005	A/Georgia/NHRC0001/2005	>A/Georgia/NHRC0001/2005|318680|A/H3N2||2005.066|HA|P0	P0
78_2005	A/Texas/NHRC0001/2005	>A/Texas/NHRC0001/2005|318688|A/H3N2||2005.126|HA|P0	P0
79_2006	A/Georgia/NHRC0001/2006	>A/Georgia/NHRC0001/2006|318696|A/H3N2||2006.022|HA|P0	P0
80_2005	A/California/NHRC0002/2005	>A/California/NHRC0002/2005|318984|A/H3N2||2005.101|HA|P0	P0
