OverlapSimulated Frequency Gene GeneLength SiteProportion NumSimulations OverlapEmpirical pvalue
1 359 4-HA 567 0.6 10000 9 0.0137
2 1034 4-HA 567 0.6 10000 9 0.0137
3 1758 4-HA 567 0.6 10000 9 0.0137
4 2166 4-HA 567 0.6 10000 9 0.0137
5 1970 4-HA 567 0.6 10000 9 0.0137
6 1369 4-HA 567 0.6 10000 9 0.0137
7 770 4-HA 567 0.6 10000 9 0.0137
8 382 4-HA 567 0.6 10000 9 0.0137
9 105 4-HA 567 0.6 10000 9 0.0137
10 24 4-HA 567 0.6 10000 9 0.0137
11 8 4-HA 567 0.6 10000 9 0.0137
0 87 4-HA 567 0.65 10000 9 0.00929999999999997
1 500 4-HA 567 0.65 10000 9 0.00929999999999997
2 1340 4-HA 567 0.65 10000 9 0.00929999999999997
3 2043 4-HA 567 0.65 10000 9 0.00929999999999997
4 2172 4-HA 567 0.65 10000 9 0.00929999999999997
5 1839 4-HA 567 0.65 10000 9 0.00929999999999997
6 1164 4-HA 567 0.65 10000 9 0.00929999999999997
7 551 4-HA 567 0.65 10000 9 0.00929999999999997
8 211 4-HA 567 0.65 10000 9 0.00929999999999997
9 74 4-HA 567 0.65 10000 9 0.00929999999999997
10 14 4-HA 567 0.65 10000 9 0.00929999999999997
11 4 4-HA 567 0.65 10000 9 0.00929999999999997
12 1 4-HA 567 0.65 10000 9 0.00929999999999997
0 139 4-HA 567 0.7 10000 9 0.00460000000000005
1 645 4-HA 567 0.7 10000 9 0.00460000000000005
2 1570 4-HA 567 0.7 10000 9 0.00460000000000005
3 2229 4-HA 567 0.7 10000 9 0.00460000000000005
4 2265 4-HA 567 0.7 10000 9 0.00460000000000005
5 1630 4-HA 567 0.7 10000 9 0.00460000000000005
6 901 4-HA 567 0.7 10000 9 0.00460000000000005
7 430 4-HA 567 0.7 10000 9 0.00460000000000005
8 145 4-HA 567 0.7 10000 9 0.00460000000000005
9 38 4-HA 567 0.7 10000 9 0.00460000000000005
10 8 4-HA 567 0.7 10000 9 0.00460000000000005
0 170 4-HA 567 0.75 10000 9 0.00229999999999997
1 843 4-HA 567 0.75 10000 9 0.00229999999999997
2 1773 4-HA 567 0.75 10000 9 0.00229999999999997
3 2331 4-HA 567 0.75 10000 9 0.00229999999999997
4 2214 4-HA 567 0.75 10000 9 0.00229999999999997
5 1501 4-HA 567 0.75 10000 9 0.00229999999999997
6 758 4-HA 567 0.75 10000 9 0.00229999999999997
7 297 4-HA 567 0.75 10000 9 0.00229999999999997
8 90 4-HA 567 0.75 10000 9 0.00229999999999997
9 18 4-HA 567 0.75 10000 9 0.00229999999999997
10 5 4-HA 567 0.75 10000 9 0.00229999999999997
0 226 4-HA 567 0.8 10000 9 0.00160000000000005
1 966 4-HA 567 0.8 10000 9 0.00160000000000005
2 2007 4-HA 567 0.8 10000 9 0.00160000000000005
3 2457 4-HA 567 0.8 10000 9 0.00160000000000005
4 2132 4-HA 567 0.8 10000 9 0.00160000000000005
5 1312 4-HA 567 0.8 10000 9 0.00160000000000005
6 567 4-HA 567 0.8 10000 9 0.00160000000000005
7 241 4-HA 567 0.8 10000 9 0.00160000000000005
8 76 4-HA 567 0.8 10000 9 0.00160000000000005
9 13 4-HA 567 0.8 10000 9 0.00160000000000005
10 2 4-HA 567 0.8 10000 9 0.00160000000000005
11 1 4-HA 567 0.8 10000 9 0.00160000000000005
0 315 4-HA 567 0.85 10000 9 0.000800000000000023
1 1158 4-HA 567 0.85 10000 9 0.000800000000000023
2 2183 4-HA 567 0.85 10000 9 0.000800000000000023
3 2526 4-HA 567 0.85 10000 9 0.000800000000000023
4 1923 4-HA 567 0.85 10000 9 0.000800000000000023
5 1130 4-HA 567 0.85 10000 9 0.000800000000000023
6 509 4-HA 567 0.85 10000 9 0.000800000000000023
7 199 4-HA 567 0.85 10000 9 0.000800000000000023
8 49 4-HA 567 0.85 10000 9 0.000800000000000023
9 8 4-HA 567 0.85 10000 9 0.000800000000000023
0 389 4-HA 567 0.9 10000 9 0.00149999999999995
1 1388 4-HA 567 0.9 10000 9 0.00149999999999995
2 2356 4-HA 567 0.9 10000 9 0.00149999999999995
3 2478 4-HA 567 0.9 10000 9 0.00149999999999995
4 1838 4-HA 567 0.9 10000 9 0.00149999999999995
5 961 4-HA 567 0.9 10000 9 0.00149999999999995
6 405 4-HA 567 0.9 10000 9 0.00149999999999995
7 138 4-HA 567 0.9 10000 9 0.00149999999999995
8 32 4-HA 567 0.9 10000 9 0.00149999999999995
9 14 4-HA 567 0.9 10000 9 0.00149999999999995
11 1 4-HA 567 0.9 10000 9 0.00149999999999995
0 443 4-HA 567 0.95 10000 9 0.000399999999999956
1 1552 4-HA 567 0.95 10000 9 0.000399999999999956
2 2539 4-HA 567 0.95 10000 9 0.000399999999999956
3 2469 4-HA 567 0.95 10000 9 0.000399999999999956
4 1677 4-HA 567 0.95 10000 9 0.000399999999999956
5 838 4-HA 567 0.95 10000 9 0.000399999999999956
6 365 4-HA 567 0.95 10000 9 0.000399999999999956
7 91 4-HA 567 0.95 10000 9 0.000399999999999956
8 22 4-HA 567 0.95 10000 9 0.000399999999999956
9 2 4-HA 567 0.95 10000 9 0.000399999999999956
10 2 4-HA 567 0.95 10000 9 0.000399999999999956
0 547 4-HA 567 1 10000 9 0.000299999999999967
1 1714 4-HA 567 1 10000 9 0.000299999999999967
