OverlapSimulated Frequency Gene GeneLength SiteProportion NumSimulations OverlapEmpirical pvalue
3 487 other 3458 0.35 10000 7 0.5309
4 932 other 3458 0.35 10000 7 0.5309
5 1337 other 3458 0.35 10000 7 0.5309
6 1698 other 3458 0.35 10000 7 0.5309
7 1638 other 3458 0.35 10000 7 0.5309
8 1367 other 3458 0.35 10000 7 0.5309
9 960 other 3458 0.35 10000 7 0.5309
10 665 other 3458 0.35 10000 7 0.5309
11 367 other 3458 0.35 10000 7 0.5309
12 180 other 3458 0.35 10000 7 0.5309
13 84 other 3458 0.35 10000 7 0.5309
14 33 other 3458 0.35 10000 7 0.5309
15 11 other 3458 0.35 10000 7 0.5309
16 3 other 3458 0.35 10000 7 0.5309
18 1 other 3458 0.35 10000 7 0.5309
0 16 other 3458 0.4 10000 7 0.3962
1 88 other 3458 0.4 10000 7 0.3962
2 351 other 3458 0.4 10000 7 0.3962
3 785 other 3458 0.4 10000 7 0.3962
4 1359 other 3458 0.4 10000 7 0.3962
5 1675 other 3458 0.4 10000 7 0.3962
6 1764 other 3458 0.4 10000 7 0.3962
7 1565 other 3458 0.4 10000 7 0.3962
8 1093 other 3458 0.4 10000 7 0.3962
9 664 other 3458 0.4 10000 7 0.3962
10 348 other 3458 0.4 10000 7 0.3962
11 171 other 3458 0.4 10000 7 0.3962
12 78 other 3458 0.4 10000 7 0.3962
13 25 other 3458 0.4 10000 7 0.3962
14 9 other 3458 0.4 10000 7 0.3962
15 6 other 3458 0.4 10000 7 0.3962
16 1 other 3458 0.4 10000 7 0.3962
17 1 other 3458 0.4 10000 7 0.3962
18 1 other 3458 0.4 10000 7 0.3962
0 19 other 3458 0.45 10000 7 0.2786
1 202 other 3458 0.45 10000 7 0.2786
2 595 other 3458 0.45 10000 7 0.2786
3 1228 other 3458 0.45 10000 7 0.2786
4 1681 other 3458 0.45 10000 7 0.2786
5 1808 other 3458 0.45 10000 7 0.2786
6 1681 other 3458 0.45 10000 7 0.2786
7 1240 other 3458 0.45 10000 7 0.2786
8 778 other 3458 0.45 10000 7 0.2786
9 442 other 3458 0.45 10000 7 0.2786
10 217 other 3458 0.45 10000 7 0.2786
11 66 other 3458 0.45 10000 7 0.2786
12 29 other 3458 0.45 10000 7 0.2786
13 9 other 3458 0.45 10000 7 0.2786
14 3 other 3458 0.45 10000 7 0.2786
15 1 other 3458 0.45 10000 7 0.2786
16 1 other 3458 0.45 10000 7 0.2786
0 64 other 3458 0.5 10000 7 0.1987
1 288 other 3458 0.5 10000 7 0.1987
2 836 other 3458 0.5 10000 7 0.1987
3 1523 other 3458 0.5 10000 7 0.1987
4 1908 other 3458 0.5 10000 7 0.1987
5 1890 other 3458 0.5 10000 7 0.1987
6 1504 other 3458 0.5 10000 7 0.1987
7 1002 other 3458 0.5 10000 7 0.1987
8 533 other 3458 0.5 10000 7 0.1987
9 269 other 3458 0.5 10000 7 0.1987
10 122 other 3458 0.5 10000 7 0.1987
11 45 other 3458 0.5 10000 7 0.1987
12 12 other 3458 0.5 10000 7 0.1987
13 4 other 3458 0.5 10000 7 0.1987
0 90 other 3458 0.55 10000 7 0.142
1 497 other 3458 0.55 10000 7 0.142
2 1153 other 3458 0.55 10000 7 0.142
3 1871 other 3458 0.55 10000 7 0.142
4 2028 other 3458 0.55 10000 7 0.142
5 1707 other 3458 0.55 10000 7 0.142
6 1234 other 3458 0.55 10000 7 0.142
7 785 other 3458 0.55 10000 7 0.142
8 396 other 3458 0.55 10000 7 0.142
9 140 other 3458 0.55 10000 7 0.142
10 74 other 3458 0.55 10000 7 0.142
11 16 other 3458 0.55 10000 7 0.142
12 6 other 3458 0.55 10000 7 0.142
13 3 other 3458 0.55 10000 7 0.142
0 149 other 3458 0.6 10000 7 0.0907
1 657 other 3458 0.6 10000 7 0.0907
2 1435 other 3458 0.6 10000 7 0.0907
3 2056 other 3458 0.6 10000 7 0.0907
4 2072 other 3458 0.6 10000 7 0.0907
5 1602 other 3458 0.6 10000 7 0.0907
6 1122 other 3458 0.6 10000 7 0.0907
7 526 other 3458 0.6 10000 7 0.0907
8 237 other 3458 0.6 10000 7 0.0907
9 89 other 3458 0.6 10000 7 0.0907
10 39 other 3458 0.6 10000 7 0.0907
11 13 other 3458 0.6 10000 7 0.0907
12 1 other 3458 0.6 10000 7 0.0907
13 1 other 3458 0.6 10000 7 0.0907
15 1 other 3458 0.6 10000 7 0.0907
0 197 other 3458 0.65 10000 7 0.0694
1 853 other 3458 0.65 10000 7 0.0694
2 1684 other 3458 0.65 10000 7 0.0694
3 2252 other 3458 0.65 10000 7 0.0694
4 2021 other 3458 0.65 10000 7 0.0694
5 1440 other 3458 0.65 10000 7 0.0694
6 859 other 3458 0.65 10000 7 0.0694
7 433 other 3458 0.65 10000 7 0.0694
8 174 other 3458 0.65 10000 7 0.0694
9 65 other 3458 0.65 10000 7 0.0694
10 20 other 3458 0.65 10000 7 0.0694
11 1 other 3458 0.65 10000 7 0.0694
12 1 other 3458 0.65 10000 7 0.0694
0 295 other 3458 0.7 10000 7 0.049
1 1017 other 3458 0.7 10000 7 0.049
2 1931 other 3458 0.7 10000 7 0.049
3 2362 other 3458 0.7 10000 7 0.049
4 1949 other 3458 0.7 10000 7 0.049
5 1276 other 3458 0.7 10000 7 0.049
6 680 other 3458 0.7 10000 7 0.049
7 310 other 3458 0.7 10000 7 0.049
8 125 other 3458 0.7 10000 7 0.049
9 42 other 3458 0.7 10000 7 0.049
10 10 other 3458 0.7 10000 7 0.049
11 3 other 3458 0.7 10000 7 0.049
0 347 other 3458 0.75 10000 7 0.0385
1 1233 other 3458 0.75 10000 7 0.0385
2 2130 other 3458 0.75 10000 7 0.0385
3 2307 other 3458 0.75 10000 7 0.0385
4 1891 other 3458 0.75 10000 7 0.0385
5 1151 other 3458 0.75 10000 7 0.0385
6 556 other 3458 0.75 10000 7 0.0385
7 248 other 3458 0.75 10000 7 0.0385
8 96 other 3458 0.75 10000 7 0.0385
9 33 other 3458 0.75 10000 7 0.0385
10 7 other 3458 0.75 10000 7 0.0385
11 1 other 3458 0.75 10000 7 0.0385
0 427 other 3458 0.8 10000 7 0.0279
1 1441 other 3458 0.8 10000 7 0.0279
2 2229 other 3458 0.8 10000 7 0.0279
3 2319 other 3458 0.8 10000 7 0.0279
4 1780 other 3458 0.8 10000 7 0.0279
5 1010 other 3458 0.8 10000 7 0.0279
6 515 other 3458 0.8 10000 7 0.0279
7 185 other 3458 0.8 10000 7 0.0279
8 70 other 3458 0.8 10000 7 0.0279
9 15 other 3458 0.8 10000 7 0.0279
10 8 other 3458 0.8 10000 7 0.0279
11 1 other 3458 0.8 10000 7 0.0279
0 531 other 3458 0.85 10000 7 0.0198
1 1620 other 3458 0.85 10000 7 0.0198
2 2379 other 3458 0.85 10000 7 0.0198
3 2326 other 3458 0.85 10000 7 0.0198
4 1591 other 3458 0.85 10000 7 0.0198
5 964 other 3458 0.85 10000 7 0.0198
6 391 other 3458 0.85 10000 7 0.0198
7 144 other 3458 0.85 10000 7 0.0198
8 39 other 3458 0.85 10000 7 0.0198
9 9 other 3458 0.85 10000 7 0.0198
10 5 other 3458 0.85 10000 7 0.0198
11 1 other 3458 0.85 10000 7 0.0198
0 632 other 3458 0.9 10000 7 0.0149
1 1842 other 3458 0.9 10000 7 0.0149
2 2537 other 3458 0.9 10000 7 0.0149
3 2274 other 3458 0.9 10000 7 0.0149
4 1505 other 3458 0.9 10000 7 0.0149
5 752 other 3458 0.9 10000 7 0.0149
6 309 other 3458 0.9 10000 7 0.0149
7 107 other 3458 0.9 10000 7 0.0149
8 31 other 3458 0.9 10000 7 0.0149
9 8 other 3458 0.9 10000 7 0.0149
10 2 other 3458 0.9 10000 7 0.0149
11 1 other 3458 0.9 10000 7 0.0149
0 722 other 3458 0.95 10000 7 0.0134
1 1978 other 3458 0.95 10000 7 0.0134
2 2592 other 3458 0.95 10000 7 0.0134
3 2180 other 3458 0.95 10000 7 0.0134
4 1402 other 3458 0.95 10000 7 0.0134
5 700 other 3458 0.95 10000 7 0.0134
6 292 other 3458 0.95 10000 7 0.0134
7 93 other 3458 0.95 10000 7 0.0134
8 33 other 3458 0.95 10000 7 0.0134
9 5 other 3458 0.95 10000 7 0.0134
10 3 other 3458 0.95 10000 7 0.0134
0 851 other 3458 1 10000 7 0.00919999999999999
1 2151 other 3458 1 10000 7 0.00919999999999999
2 2704 other 3458 1 10000 7 0.00919999999999999
3 2146 other 3458 1 10000 7 0.00919999999999999
4 1259 other 3458 1 10000 7 0.00919999999999999
5 570 other 3458 1 10000 7 0.00919999999999999
6 227 other 3458 1 10000 7 0.00919999999999999
7 67 other 3458 1 10000 7 0.00919999999999999
8 17 other 3458 1 10000 7 0.00919999999999999
9 5 other 3458 1 10000 7 0.00919999999999999
10 3 other 3458 1 10000 7 0.00919999999999999
