Gene NumSitesTotal NumUniqueData NumUniqueSimulated Frequency GeneLength SiteProportion NumSimulations pvalue
4-HA 26 19 26 43622 567 0.55 100000 0
4-HA 26 19 19 1 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 20 1 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 21 35 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 22 366 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 23 2601 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 24 13043 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 25 37229 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 26 46724 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 21 22 567 0.65 100000 0
4-HA 26 19 22 272 567 0.65 100000 0
4-HA 26 19 23 2194 567 0.65 100000 0
4-HA 26 19 24 11627 567 0.65 100000 0
4-HA 26 19 25 36102 567 0.65 100000 0
4-HA 26 19 26 49783 567 0.65 100000 0
4-HA 26 19 20 1 567 0.7 100000 0
4-HA 26 19 21 14 567 0.7 100000 0
4-HA 26 19 22 202 567 0.7 100000 0
4-HA 26 19 23 1822 567 0.7 100000 0
4-HA 26 19 24 10504 567 0.7 100000 0
4-HA 26 19 25 35301 567 0.7 100000 0
4-HA 26 19 26 52156 567 0.7 100000 0
4-HA 26 19 21 14 567 0.75 100000 0
4-HA 26 19 22 169 567 0.75 100000 0
4-HA 26 19 23 1486 567 0.75 100000 0
4-HA 26 19 24 9511 567 0.75 100000 0
4-HA 26 19 25 34285 567 0.75 100000 0
4-HA 26 19 26 54535 567 0.75 100000 0
4-HA 26 19 20 1 567 0.8 100000 0
4-HA 26 19 21 10 567 0.8 100000 0
4-HA 26 19 22 117 567 0.8 100000 0
4-HA 26 19 23 1296 567 0.8 100000 0
4-HA 26 19 24 8580 567 0.8 100000 0
4-HA 26 19 25 33150 567 0.8 100000 0
4-HA 26 19 26 56846 567 0.8 100000 0
4-HA 26 19 21 5 567 0.85 100000 0
4-HA 26 19 22 112 567 0.85 100000 0
4-HA 26 19 23 1136 567 0.85 100000 0
4-HA 26 19 24 7684 567 0.85 100000 0
4-HA 26 19 25 32415 567 0.85 100000 0
4-HA 26 19 26 58648 567 0.85 100000 0
4-HA 26 19 21 3 567 0.9 100000 0
4-HA 26 19 22 67 567 0.9 100000 0
4-HA 26 19 23 930 567 0.9 100000 0
4-HA 26 19 24 7132 567 0.9 100000 0
4-HA 26 19 25 31261 567 0.9 100000 0
4-HA 26 19 26 60607 567 0.9 100000 0
4-HA 26 19 21 4 567 0.95 100000 0
4-HA 26 19 22 71 567 0.95 100000 0
4-HA 26 19 23 798 567 0.95 100000 0
4-HA 26 19 24 6384 567 0.95 100000 0
4-HA 26 19 25 30314 567 0.95 100000 0
4-HA 26 19 26 62429 567 0.95 100000 0
4-HA 26 19 21 3 567 1 100000 0
4-HA 26 19 22 64 567 1 100000 0
4-HA 26 19 23 698 567 1 100000 0
4-HA 26 19 24 6040 567 1 100000 0
4-HA 26 19 25 29486 567 1 100000 0
4-HA 26 19 26 63709 567 1 100000 0
6-NA 20 17 10 11 470 0.05 100000 0.96962
6-NA 20 17 11 135 470 0.05 100000 0.96962
6-NA 20 17 12 1567 470 0.05 100000 0.96962
6-NA 20 17 13 7878 470 0.05 100000 0.96962
6-NA 20 17 14 20775 470 0.05 100000 0.96962
6-NA 20 17 15 30399 470 0.05 100000 0.96962
6-NA 20 17 16 24892 470 0.05 100000 0.96962
6-NA 20 17 17 11305 470 0.05 100000 0.96962
6-NA 20 17 18 2726 470 0.05 100000 0.96962
6-NA 20 17 19 290 470 0.05 100000 0.96962
6-NA 20 17 20 22 470 0.05 100000 0.96962
6-NA 20 17 12 9 470 0.1 100000 0.51758
6-NA 20 17 13 154 470 0.1 100000 0.51758
6-NA 20 17 14 1154 470 0.1 100000 0.51758
6-NA 20 17 15 5594 470 0.1 100000 0.51758
6-NA 20 17 16 16039 470 0.1 100000 0.51758
6-NA 20 17 17 28808 470 0.1 100000 0.51758
6-NA 20 17 18 29115 470 0.1 100000 0.51758
